0,0,-0,0
1,3,-0.0017449,0.099964
2,6,-0.0069742,0.19972
3,9,-0.015672,0.29904
4,12,-0.027812,0.39773
5,15,-0.043357,0.49557
6,18,-0.06226,0.59236
7,21,-0.084462,0.68789
8,24,-0.1099,0.78196
9,27,-0.13849,0.87437
10,30,-0.17014,0.96493
11,32.999,-0.20477,1.0535
12,35.999,-0.24226,1.1398
13,38.999,-0.2825,1.2237
14,41.999,-0.32537,1.305
15,44.999,-0.37073,1.3836
16,47.999,-0.41845,1.4593
17,50.998,-0.46837,1.532
18,53.998,-0.52035,1.6015
19,56.998,-0.57422,1.6677
20,59.998,-0.62982,1.7304
21,62.998,-0.68697,1.7896
22,65.998,-0.7455,1.8452
23,68.998,-0.80522,1.897
24,71.997,-0.86595,1.9449
25,74.998,-0.92749,1.989
26,77.998,-0.98965,2.029
27,80.998,-1.0522,2.0651
28,83.998,-1.1151,2.097
29,86.998,-1.1779,2.1249
30,89.999,-1.2406,2.1486
31,92.999,-1.3028,2.1682
32,96,-1.3645,2.1836
33,99.001,-1.4255,2.1949
34,102,-1.4854,2.202
35,105,-1.5442,2.2051
36,108,-1.6016,2.2041
37,111,-1.6574,2.1992
38,114.01,-1.7115,2.1903
39,117.01,-1.7636,2.1775
40,120.01,-1.8136,2.161
41,123.01,-1.8613,2.1407
42,126.01,-1.9066,2.1169
43,129.02,-1.9492,2.0896
44,132.02,-1.989,2.059
45,135.02,-2.0259,2.0251
46,138.02,-2.0596,1.9882
47,141.03,-2.0902,1.9483
48,144.03,-2.1174,1.9056
49,147.03,-2.1411,1.8603
50,150.03,-2.1613,1.8125
51,153.04,-2.1777,1.7624
52,156.04,-2.1904,1.7102
53,159.04,-2.1992,1.656
54,162.05,-2.2041,1.6001
55,165.05,-2.205,1.5426
56,168.05,-2.2019,1.4838
57,171.06,-2.1946,1.4237
58,174.06,-2.1833,1.3627
59,177.06,-2.1677,1.301
60,-179.93,-2.1481,1.2386
61,-176.93,-2.1243,1.1759
62,-173.93,-2.0963,1.113
63,-170.92,-2.0643,1.0501
64,-167.92,-2.0281,0.98752
65,-164.92,-1.988,0.92533
66,-161.91,-1.9438,0.86377
67,-158.91,-1.8958,0.80304
68,-155.91,-1.8439,0.74332
69,-152.91,-1.7882,0.6848
70,-149.9,-1.7289,0.62768
71,-146.9,-1.666,0.57211
72,-143.9,-1.5998,0.51828
73,-140.9,-1.5302,0.46636
74,-137.9,-1.4574,0.4165
75,-134.9,-1.3816,0.36885
76,-131.89,-1.3029,0.32358
77,-128.89,-1.2215,0.2808
78,-125.89,-1.1375,0.24066
79,-122.89,-1.0511,0.20328
80,-119.89,-0.96249,0.16876
81,-116.89,-0.87186,0.13723
82,-113.89,-0.77939,0.10877
83,-110.89,-0.68526,0.083463
84,-107.89,-0.58969,0.061397
85,-104.89,-0.49286,0.042634
86,-101.89,-0.39498,0.027231
87,-98.888,-0.29626,0.015235
88,-95.888,-0.19692,0.0066832
89,-92.888,-0.097157,0.0016005
90,-89.888,0.0028112,2.7586e-06
91,-86.888,0.10277,0.0018948
92,-83.888,0.20251,0.0072709
93,-80.887,0.30182,0.016115
94,-77.887,0.40048,0.0284
95,-74.887,0.49829,0.044089
96,-71.887,0.59503,0.063134
97,-68.887,0.69051,0.085478
98,-65.886,0.78452,0.11105
99,-62.886,0.87687,0.13978
100,-59.885,0.96736,0.17158
101,-56.884,1.0558,0.20634
102,-53.883,1.142,0.24397
103,-50.882,1.2258,0.28434
104,-47.881,1.3071,0.32734
105,-44.88,1.3855,0.37283
106,-41.878,1.4611,0.42068
107,-38.877,1.5337,0.47073
108,-35.875,1.6031,0.52283
109,-32.873,1.6691,0.57683
110,-29.871,1.7317,0.63255
111,-26.868,1.7908,0.68982
112,-23.866,1.8461,0.74846
113,-20.863,1.8978,0.80829
114,-17.861,1.9456,0.86912
115,-14.858,1.9894,0.93077
116,-11.855,2.0293,0.99302
117,-8.8518,2.0652,1.0557
118,-5.8486,2.0969,1.1186
119,-2.8454,2.1246,1.1815
120,0.15783,2.1481,1.2442
121,3.1611,2.1674,1.3066
122,6.1645,2.1827,1.3683
123,9.1678,2.1937,1.4293
124,12.171,2.2007,1.4893
125,15.175,2.2036,1.5481
126,18.178,2.2024,1.6054
127,21.181,2.1972,1.6613
128,24.184,2.1881,1.7153
129,27.188,2.1752,1.7674
130,30.191,2.1585,1.8174
131,33.194,2.1381,1.865
132,36.197,2.1141,1.9101
133,39.199,2.0867,1.9527
134,42.202,2.0559,1.9924
135,45.205,2.0219,2.0291
136,48.207,1.9848,2.0628
137,51.209,1.9448,2.0932
138,54.211,1.902,2.1202
139,57.213,1.8566,2.1438
140,60.215,1.8088,2.1638
141,63.217,1.7586,2.18
142,66.219,1.7063,2.1925
143,69.22,1.6522,2.2012
144,72.221,1.5962,2.2058
145,75.222,1.5388,2.2065
146,78.223,1.4799,2.2032
147,81.224,1.4199,2.1957
148,84.225,1.359,2.1842
149,87.226,1.2972,2.1684
150,90.226,1.2349,2.1486
151,93.227,1.1723,2.1246
152,96.227,1.1095,2.0964
153,99.227,1.0467,2.0642
154,102.23,0.98415,2.0279
155,105.23,0.92206,1.9875
156,108.23,0.8606,1.9432
157,111.23,0.79998,1.8949
158,114.23,0.74037,1.8429
159,117.23,0.68197,1.787
160,120.23,0.62496,1.7276
161,123.23,0.56952,1.6646
162,126.23,0.51581,1.5982
163,129.23,0.46401,1.5284
164,132.23,0.41428,1.4555
165,135.23,0.36677,1.3796
166,138.23,0.32162,1.3008
167,141.23,0.27897,1.2193
